,x1,y1,x2,y2,label,power,perc
170,363500,172500,356500,198500,7927_7989,9.95E-10,0.00011691
171,347500,156500,356500,199500,7922_8244,9.93E-10,0.000116649
172,326500,256500,334500,274500,7663_7758,9.79E-10,0.000115071
173,348500,157500,362500,172500,7988_8222,9.70E-10,0.000114028
174,568500,329500,522500,362500,6899_7122,9.33E-10,0.000109667
175,471500,264500,495500,302500,7344_7719,9.12E-10,0.000107182
176,471500,264500,484500,297500,7401_7719,8.97E-10,0.000105457
177,348500,156500,356500,198500,7927_8245,8.95E-10,0.000105189
178,472500,264500,472500,306500,7331_7720,8.77E-10,0.000103084
179,347500,157500,362500,172500,7988_8221,8.70E-10,0.000102232
180,471500,263500,453500,310500,7301_7721,8.69E-10,0.000102157
181,567500,329500,521500,362500,6898_7121,8.52E-10,0.000100106
182,471500,264500,496500,302500,7345_7719,8.48E-10,9.97E-05
183,338500,155500,355500,199500,7921_8258,8.45E-10,9.93E-05
184,343500,155500,356500,199500,7922_8263,8.33E-10,9.79E-05
185,356500,199500,363500,213500,7880_7922,8.27E-10,9.72E-05
186,341500,155500,355500,198500,7926_8261,8.27E-10,9.72E-05
187,363500,213500,327500,235500,7829_7880,8.25E-10,9.70E-05
188,349500,157500,356500,199500,7922_8223,7.88E-10,9.27E-05
189,355500,199500,329500,232500,7838_7921,7.75E-10,9.11E-05
190,471500,264500,495500,301500,7351_7719,7.73E-10,9.09E-05
191,471500,264500,452500,310500,7300_7719,7.73E-10,9.09E-05
192,354500,151500,355500,199500,7921_8346,7.73E-10,9.09E-05
193,346500,158500,355500,198500,7926_8198,7.56E-10,8.89E-05
194,325500,256500,334500,274500,7663_7757,7.54E-10,8.86E-05
195,363500,213500,399500,224500,7864_7880,7.51E-10,8.82E-05
196,355500,198500,329500,230500,7843_7926,7.23E-10,8.50E-05
197,344500,224500,338500,229500,7848_7863,7.21E-10,8.48E-05
198,350500,155500,356500,198500,7927_8265,7.16E-10,8.41E-05
199,491500,230500,472500,264500,7720_7844,6.96E-10,8.18E-05
200,356500,199500,329500,230500,7843_7922,6.96E-10,8.18E-05
201,363500,213500,399500,225500,7861_7880,6.93E-10,8.14E-05
202,472500,264500,449500,312500,7284_7720,6.54E-10,7.69E-05
203,340500,155500,355500,198500,7926_8260,6.32E-10,7.43E-05
204,471500,263500,472500,305500,7338_7721,6.30E-10,7.40E-05
205,471500,263500,487500,299500,7369_7721,6.30E-10,7.40E-05
206,356500,198500,327500,233500,7835_7927,6.27E-10,7.37E-05
207,326500,256500,334500,275500,7647_7758,6.26E-10,7.36E-05
208,493500,234500,471500,264500,7719_7833,6.20E-10,7.28E-05
209,346500,157500,356500,198500,7927_8220,6.12E-10,7.19E-05
210,491500,229500,471500,263500,7721_7849,6.03E-10,7.09E-05
211,344500,224500,331500,225500,7860_7863,6.03E-10,7.08E-05
212,472500,264500,452500,315500,7256_7720,5.94E-10,6.98E-05
213,338500,156500,355500,199500,7921_8239,5.77E-10,6.78E-05
214,566500,328500,522500,363500,6880_7127,5.76E-10,6.77E-05
215,355500,199500,328500,239500,7820_7921,5.73E-10,6.73E-05
216,472500,264500,446500,315500,7254_7720,5.71E-10,6.71E-05
217,471500,264500,453500,310500,7301_7719,5.61E-10,6.59E-05
218,347500,156500,356500,198500,7927_8244,5.53E-10,6.50E-05
219,348500,157500,363500,173500,7982_8222,5.46E-10,6.41E-05
220,471500,263500,453500,309500,7309_7721,5.41E-10,6.36E-05
221,492500,230500,471500,263500,7721_7845,5.28E-10,6.20E-05
222,355500,198500,363500,213500,7880_7926,5.27E-10,6.19E-05
223,339500,155500,355500,199500,7921_8259,5.23E-10,6.14E-05
224,355500,198500,325500,237500,7823_7926,5.07E-10,5.96E-05
225,344500,224500,330500,227500,7854_7863,5.03E-10,5.91E-05
226,338500,155500,355500,198500,7926_8258,5.03E-10,5.91E-05
227,567500,334500,522500,363500,6880_7107,5.00E-10,5.88E-05
228,356500,199500,325500,237500,7823_7922,4.96E-10,5.83E-05
229,567500,328500,522500,363500,6880_7128,4.92E-10,5.79E-05
230,347500,157500,363500,173500,7982_8221,4.89E-10,5.75E-05
231,325500,256500,334500,275500,7647_7757,4.86E-10,5.71E-05
232,363500,213500,328500,230500,7842_7880,4.75E-10,5.58E-05
233,354500,151500,355500,198500,7926_8346,4.73E-10,5.55E-05
234,350500,156500,355500,199500,7921_8247,4.62E-10,5.43E-05
235,343500,155500,356500,198500,7927_8263,4.60E-10,5.41E-05
236,341500,155500,356500,199500,7922_8261,4.57E-10,5.37E-05
237,355500,198500,328500,229500,7846_7926,4.56E-10,5.35E-05
238,566500,328500,521500,364500,6860_7127,4.54E-10,5.34E-05
239,471500,263500,487500,298500,7382_7721,4.53E-10,5.33E-05
240,399500,225500,382500,270500,7695_7861,4.45E-10,5.24E-05
241,350500,155500,362500,173500,7981_8265,4.44E-10,5.21E-05
242,349500,157500,356500,198500,7927_8223,4.41E-10,5.18E-05
243,356500,199500,328500,229500,7846_7922,4.30E-10,5.05E-05
244,346500,158500,356500,199500,7922_8198,4.29E-10,5.04E-05
245,355500,199500,327500,231500,7840_7921,4.22E-10,4.95E-05
246,472500,264500,449500,317500,7219_7720,4.20E-10,4.94E-05
247,471500,264500,472500,305500,7338_7719,4.18E-10,4.91E-05
248,568500,329500,521500,362500,6898_7122,4.15E-10,4.88E-05
249,325500,255500,334500,274500,7663_7762,4.14E-10,4.86E-05
250,471500,264500,487500,299500,7369_7719,4.03E-10,4.74E-05
251,347500,158500,362500,173500,7981_8199,4.02E-10,4.72E-05
252,471500,263500,453500,311500,7294_7721,3.99E-10,4.69E-05
253,350500,154500,355500,199500,7921_8284,3.98E-10,4.68E-05
254,567500,334500,521500,364500,6860_7107,3.98E-10,4.68E-05
255,567500,328500,521500,364500,6860_7128,3.89E-10,4.57E-05
256,491500,228500,471500,263500,7721_7853,3.80E-10,4.47E-05
257,471500,263500,452500,311500,7293_7721,3.73E-10,4.38E-05
258,471500,263500,471500,305500,7337_7721,3.72E-10,4.38E-05
259,339500,156500,355500,199500,7921_8240,3.68E-10,4.32E-05
260,344500,224500,330500,226500,7857_7863,3.66E-10,4.30E-05
261,348500,156500,362500,173500,7981_8245,3.64E-10,4.28E-05
262,568500,331500,522500,362500,6899_7113,3.63E-10,4.27E-05
263,356500,198500,327500,235500,7829_7927,3.51E-10,4.13E-05
264,472500,264500,447500,314500,7266_7720,3.51E-10,4.12E-05
265,471500,264500,453500,309500,7309_7719,3.49E-10,4.10E-05
266,340500,155500,356500,199500,7922_8260,3.48E-10,4.08E-05
267,338500,156500,355500,198500,7926_8239,3.43E-10,4.03E-05
268,472500,264500,454500,310500,7302_7720,3.41E-10,4.01E-05
269,567500,329500,522500,363500,6880_7121,3.38E-10,3.97E-05
270,326500,256500,320500,285500,7538_7758,3.37E-10,3.96E-05
271,355500,198500,325500,235500,7827_7926,3.35E-10,3.94E-05
272,350500,155500,362500,172500,7988_8265,3.32E-10,3.91E-05
273,325500,256500,320500,285500,7538_7757,3.32E-10,3.90E-05
274,363500,213500,325500,237500,7823_7880,3.28E-10,3.86E-05
275,356500,198500,328500,230500,7842_7927,3.28E-10,3.85E-05
276,356500,199500,325500,235500,7827_7922,3.23E-10,3.80E-05
277,472500,264500,450500,314500,7267_7720,3.18E-10,3.73E-05
278,346500,156500,355500,199500,7921_8243,3.17E-10,3.73E-05
279,566500,328500,520500,364500,6859_7127,3.15E-10,3.71E-05
280,339500,155500,355500,198500,7926_8259,3.12E-10,3.66E-05
281,355500,199500,327500,232500,7837_7921,3.11E-10,3.66E-05
282,363500,213500,329500,230500,7843_7880,3.09E-10,3.63E-05
283,492500,232500,472500,264500,7720_7839,3.08E-10,3.62E-05
284,568500,322500,522500,362500,6899_7165,2.97E-10,3.49E-05
285,399500,224500,382500,270500,7695_7864,2.94E-10,3.45E-05
286,471500,264500,487500,298500,7382_7719,2.90E-10,3.40E-05
287,347500,165500,362500,173500,7981_8040,2.89E-10,3.39E-05
288,567500,330500,522500,362500,6899_7116,2.87E-10,3.38E-05
289,472500,264500,496500,303500,7342_7720,2.87E-10,3.37E-05
290,354500,151500,356500,199500,7922_8346,2.87E-10,3.37E-05
291,564500,327500,522500,362500,6899_7130,2.86E-10,3.36E-05
292,347500,158500,362500,172500,7988_8199,2.86E-10,3.36E-05
293,355500,199500,327500,230500,7841_7921,2.84E-10,3.34E-05
294,350500,156500,355500,198500,7926_8247,2.81E-10,3.31E-05
295,566500,333500,522500,362500,6899_7109,2.76E-10,3.24E-05
296,338500,155500,356500,199500,7922_8258,2.74E-10,3.22E-05
297,354500,150500,355500,199500,7921_8360,2.74E-10,3.22E-05
298,567500,331500,522500,362500,6899_7112,2.71E-10,3.19E-05
299,567500,334500,520500,364500,6859_7107,2.70E-10,3.18E-05
300,567500,328500,520500,364500,6859_7128,2.69E-10,3.16E-05
301,502500,237500,471500,263500,7721_7824,2.67E-10,3.14E-05
302,567500,329500,521500,364500,6860_7121,2.67E-10,3.14E-05
303,348500,156500,362500,172500,7988_8245,2.66E-10,3.13E-05
304,325500,255500,334500,275500,7647_7762,2.66E-10,3.12E-05
305,344500,224500,330500,228500,7852_7863,2.60E-10,3.06E-05
306,471500,264500,453500,311500,7294_7719,2.58E-10,3.03E-05
307,578500,343500,522500,362500,6899_7061,2.53E-10,2.98E-05
308,341500,155500,356500,198500,7927_8261,2.51E-10,2.95E-05
309,471500,264500,471500,305500,7337_7719,2.47E-10,2.90E-05
310,350500,154500,355500,198500,7926_8284,2.43E-10,2.86E-05
311,471500,264500,452500,311500,7293_7719,2.40E-10,2.82E-05
312,346500,158500,356500,198500,7927_8198,2.38E-10,2.80E-05
313,355500,198500,329500,232500,7838_7926,2.32E-10,2.72E-05
314,344500,224500,327500,234500,7832_7863,2.30E-10,2.70E-05
315,356500,199500,329500,232500,7838_7922,2.27E-10,2.66E-05
316,339500,156500,355500,198500,7926_8240,2.19E-10,2.57E-05
317,356500,198500,363500,213500,7880_7927,2.18E-10,2.56E-05
318,566500,328500,520500,363500,6878_7127,2.14E-10,2.51E-05
319,354500,151500,362500,173500,7981_8346,2.09E-10,2.46E-05
320,566500,328500,522500,361500,6918_7127,2.07E-10,2.43E-05
321,349500,157500,362500,173500,7981_8223,1.98E-10,2.32E-05
322,356500,198500,329500,230500,7843_7927,1.93E-10,2.27E-05
323,346500,156500,355500,198500,7926_8243,1.92E-10,2.26E-05
324,340500,155500,356500,198500,7927_8260,1.91E-10,2.24E-05
325,491500,229500,471500,264500,7719_7849,1.90E-10,2.23E-05
326,350500,155500,363500,173500,7982_8265,1.88E-10,2.21E-05
327,347500,156500,362500,173500,7981_8244,1.88E-10,2.21E-05
328,579500,343500,522500,362500,6899_7062,1.87E-10,2.19E-05
329,338500,156500,356500,199500,7922_8239,1.86E-10,2.19E-05
330,472500,264500,447500,315500,7255_7720,1.86E-10,2.19E-05
331,347500,165500,362500,172500,7988_8040,1.86E-10,2.19E-05
332,355500,199500,329500,238500,7821_7921,1.85E-10,2.17E-05
333,567500,329500,520500,364500,6859_7121,1.84E-10,2.17E-05
334,567500,328500,520500,363500,6878_7128,1.82E-10,2.14E-05
335,363500,213500,328500,239500,7820_7880,1.79E-10,2.10E-05
336,567500,334500,520500,363500,6878_7107,1.78E-10,2.09E-05
337,355500,199500,326500,233500,7834_7921,1.77E-10,2.08E-05
338,328500,259500,334500,274500,7663_7737,1.76E-10,2.07E-05
339,325500,255500,320500,285500,7538_7762,1.76E-10,2.07E-05
340,567500,328500,522500,361500,6918_7128,1.76E-10,2.06E-05
341,363500,213500,325500,235500,7827_7880,1.75E-10,2.06E-05
342,399500,225500,381500,270500,7694_7861,1.75E-10,2.06E-05
343,472500,264500,445500,315500,7253_7720,1.72E-10,2.02E-05
344,567500,322500,522500,362500,6899_7164,1.72E-10,2.02E-05
