"","x","y","distN","distE","sector","angle"
"102",549647.949289232,96487.3784135617,1,0.517532466258296,"E",1.53574575504209
"103",549647.949289232,96737.3784135617,1,0.514085120115606,"E",1.54263353463251
"104",549897.949289232,107237.378413562,1,0.185117264477465,"N W",2.13281516049233
"105",549897.949289232,96487.3784135617,1,0.525855096070172,"E",1.51913215090234
"106",550147.949289232,106987.378413562,1,0.19688724043203,"N W",2.11578084480619
"107",550147.949289232,107237.378413562,1,0.193439894289341,"N W",2.12080722733616
"108",550147.949289232,96487.3784135617,1,0.534177725882048,"E",1.50254704043881
"109",550397.949289232,106737.378413562,1,0.208657216386596,"N W",2.0983873316079
"110",550397.949289232,106987.378413562,1,0.205209870243906,"N W",2.10351902268931
"111",550397.949289232,96487.3784135617,1,0.542500355693924,"E",1.4859994459868
"112",550647.949289232,106487.378413562,1,0.220427192341162,"N W",2.08063399716667
"113",550647.949289232,106737.378413562,1,0.216979846198472,"N W",2.08587109152169
"114",550647.949289232,96487.3784135617,1,0.5508229855058,"S E",1.46949826701738
"115",550897.949289232,105987.378413562,1,0.240519798107603,"N",2.04949694864591
"116",550897.949289232,106237.378413562,1,0.232197168295727,"N W",2.06252109868238
"117",550897.949289232,106487.378413562,1,0.228749822153038,"N W",2.06786342545075
"118",550897.949289232,96487.3784135617,1,0.559145615317676,"S E",1.45305225214725
"119",551147.949289232,105737.378413562,1,0.252289774062169,"N",2.03077359033828
"120",551147.949289232,105987.378413562,1,0.243967144250293,"N",2.04404984723872
"121",551147.949289232,96487.3784135617,1,0.567468245129552,"S E",1.4366699723607
"122",551397.949289232,105737.378413562,1,0.255737120204859,"N",2.02522247997965
"123",551397.949289232,96487.3784135617,1,0.575790874941428,"S E",1.42035979563971
"124",551647.949289232,105487.378413562,1,0.267507096159424,"N",2.00604233043405
"125",551647.949289232,105737.378413562,1,0.264059750016735,"N",2.01169635580632
"126",551647.949289232,96487.3784135617,1,0.584113504753304,"S E",1.4041298631775
"127",551647.949289232,96737.3784135617,1,0.587560850895994,"S E",1.39743257735744
"128",551897.949289232,105487.378413562,1,0.2758297259713,"N",1.99226939467551
"129",551897.949289232,96487.3784135617,1,0.59243613456518,"S E",1.38798806732838
"130",552147.949289232,105237.378413562,1,0.287599701925866,"N",1.97249806525553
"131",552147.949289232,105487.378413562,1,0.284152355783176,"N",1.97832424834582
"132",552147.949289232,96487.3784135617,1,0.600758764377056,"S E",1.3719420314228
"133",552397.949289232,105237.378413562,1,0.295922331737742,"N",1.95831333605342
"134",552397.949289232,96237.3784135617,1,0.612528740331622,"S E",1.34942717419786
"135",552397.949289232,96487.3784135617,1,0.609081394188932,"S E",1.35599909155105
"136",552647.949289232,105237.378413562,1,0.304244961549618,"N",1.94396244709018
"137",552647.949289232,96237.3784135617,1,0.620851370143498,"S E",1.33364196527685
"138",552897.949289232,104987.378413562,1,0.316014937504183,"N",1.92338962026924
"139",552897.949289232,105237.378413562,1,0.312567591361494,"N",1.92944847543861
"140",552897.949289232,95987.3784135617,1,0.632621346098063,"S E",1.31152384248422
"141",552897.949289232,96237.3784135617,1,0.629173999955374,"S E",1.31797628592077
"142",553147.949289232,104987.378413562,1,0.324337567316059,"N",1.90865093921481
"143",553147.949289232,95987.3784135617,1,0.640943975909939,"S E",1.29603778609468
"144",553397.949289232,104987.378413562,1,0.332660197127935,"N",1.89375803660527
"145",553397.949289232,95737.3784135617,1,0.652713951864505,"S",1.27436727331338
"146",553397.949289232,95987.3784135617,1,0.649266605721815,"S E",1.28068575255227
"147",553647.949289232,104987.378413562,1,0.340982826939811,"N",1.87871518752086
"148",553647.949289232,95737.3784135617,1,0.661036581676381,"S",1.25921392465405
"149",553897.949289232,104987.378413562,1,0.349305456751687,"N E",1.86352702482922
"150",553897.949289232,95737.3784135617,1,0.669359211488257,"S",1.24420704663581
"151",554147.949289232,104987.378413562,1,0.357628086563563,"N E",1.84819853931791
"152",554147.949289232,95487.3784135617,1,0.681129187442823,"S",1.22324291723287
"153",554147.949289232,95737.3784135617,1,0.677681841300133,"S",1.22935118523266
"154",554397.949289232,104987.378413562,1,0.365950716375439,"N E",1.83273507799133
"155",554397.949289232,95487.3784135617,1,0.689451817254699,"S",1.20860769192046
"156",554647.949289232,104737.378413562,1,0.377720692330005,"N E",1.81064716631504
"157",554647.949289232,104987.378413562,1,0.374273346187315,"N E",1.81714234043885
"158",554647.949289232,95237.3784135617,1,0.701221793209264,"S",1.18818518628457
"159",554647.949289232,95487.3784135617,1,0.697774447066575,"S",1.1941329895662
"160",554897.949289232,104737.378413562,1,0.386043322141881,"N E",1.79488200692777
"161",554897.949289232,94987.3784135617,1,0.71299176916383,"S",1.16809290857713
"162",554897.949289232,95237.3784135617,1,0.70954442302114,"S",1.17394311449032
"163",555147.949289232,104737.378413562,1,0.394365951953757,"N E",1.77900274582173
"164",555147.949289232,94737.3784135617,1,0.724761745118396,"S",1.14833873723116
"165",555147.949289232,94987.3784135617,1,0.721314398975706,"S",1.15408917681277
"166",555397.949289232,104737.378413562,1,0.402688581765633,"N E",1.76301623127284
"167",555397.949289232,94737.3784135617,1,0.733084374930272,"S",1.13457811827925
"168",555647.949289232,104737.378413562,1,0.411011211577509,"N E",1.74692962346605
"169",555647.949289232,94737.3784135617,1,0.741407004742148,"S",1.12099179476061
